variable,value,median_modulus,q25,q75,frac_unstable,moduli,robust_verdict,robust_upper,robust_lower,m_pred,m_pred_hstar,h_star_pred
alpha,0.05,0.08012557029724121,0.04378056526184082,0.14418280124664307,0.0,0.1442;0.3023;0.0361;0.0801;0.0438,stable,0.2311047265149055,0.011469393052965585,0.1064472985794332,0.0651537800579338,1.5682952136508703
alpha,0.15,0.18140316009521484,0.16109657287597656,0.4001271724700928,0.0,0.4001;0.4065;0.1330;0.1611;0.1814,stable,0.3916109793949355,0.12122309271810158,0.31934189573829963,0.17651381453031298,1.6491896838075377
alpha,0.25,0.4172248840332031,0.32132232189178467,0.4704275131225586,0.0,0.7991;0.4704;0.3213;0.4172;0.2946,stable,0.6626937280376896,0.2583404173175351,0.532236492897166,0.2692427526438928,1.7161440442524243
alpha,0.35,1.38151216506958,0.5591599941253662,1.6063897609710693,0.6,1.7348;1.6064;0.3895;1.3815;0.5592,undecided,1.7527469517237413,0.5158055900090468,0.7451310900560324,0.34851561147170734,1.7733964707802623
alpha,0.45,1.829077959060669,1.0702791213989258,2.0421743392944336,0.8,2.0422;2.4791;0.0256;1.0703;1.8291,undecided,2.45342900650127,0.5250597248830071,0.9580256872148987,0.41765220138069686,1.823492079722993
alpha,0.55,1.5533549785614014,1.266708493232727,1.6436474323272705,1.0,2.2101;1.1857;1.2667;1.5534;1.6436,unstable,1.97661060451248,1.167192729723665,1.1709202843737654,0.47889875860593756,1.868081490955252
alpha,0.65,1.0596354007720947,1.003216028213501,1.6359305381774902,0.8,1.6906;1.0032;0.5990;1.0596;1.6359,undecided,1.6587543175388229,0.7365891768764605,1.3838148815326317,0.533840904465193,1.9082975901540127
alpha,0.8,0.6696436405181885,0.2884845733642578,1.1294794082641602,0.4,0.6696;1.1414;1.1295;0.2885;0.0944,undecided,1.1416701204771178,0.1876777999406678,1.7031567772709313,0.6068858904545712,1.9621389119180377
