date,bond_mkt_ret,duration_rf,credit_rf,liquidity_rf,cum_lrf_12m,cum_crf_12m,bond_vol_6m
2006-01-31,0.0022434988682399,0.0101126411814617,0.0269780023132977,-0.0004465541876213,0.0063275473091092,0.020822933022004105,0.03023960804444268
2006-02-28,-0.0002997363691198,0.0074289232494474,0.0055501813690472,0.0062481585950965,0.0098167829003562,0.008296290803714204,0.028715455142814542
2006-03-31,-0.0097881228565664,-0.0142671960732571,0.0210530518180648,-0.0069416744661132,0.0010031199587294,0.043770859674591905,0.024928490681217705
2006-04-30,-0.0045703676659896,-0.0089909883279315,0.0150758291254057,-0.0078344579865154,-0.0100543216089616,0.0975774569849932,0.01773298136406227
2006-05-31,-0.0032413728760211,-0.0009378280519753,0.0017900136093994,1.3962106835381516e-05,-0.012456676313338218,0.08931351338710221,0.017148359399320516
2006-06-30,-0.0070602372986599,-0.0015605052615001,-0.0003934672153225,-0.0041946356013697,-0.01725931322617912,0.07913680576419602,0.015192117748352307
2006-07-31,0.0110397263016666,0.0128627229906562,-0.0052045881086668,-0.0005135940446908,-0.011506854980765018,0.0451843001799503,0.025300729313543335
2006-08-31,0.0138471404654902,0.0172532148070813,-0.0018866440989185,0.0086864697872572,-0.006804757579976617,0.0583233223696755,0.034315920873110854
2006-09-30,0.0083188320735843,0.0106665900553027,0.0012468495961369,0.0032418674085911,-0.0004574201028109178,0.057896787776225006,0.03129380685468355
2006-10-31,0.0039877295739258,0.0032476928237223,0.0087462944726041,-0.0009140271449936,0.0058797374922249825,0.0661006237807511,0.028504692002659635
2006-11-30,0.0115566110085234,0.0137493124131544,0.0058472223926972,0.0015225534775707,0.0031546713750886827,0.06951945583253451,0.026493142597824617
2006-12-31,-0.0052860488126219,-0.0041549306603456,0.0169844982956463,-0.0048680471591516,-0.005999979215104718,0.0957872435693915,0.024266930594327687
2007-01-31,-0.0035105689740102,-0.0013143032618515,0.0184091370271433,0.0024566437492749,-0.003096781278208518,0.08721837828323711,0.027335089019682235
