n_dealers,probe_feedback,modulus_common_measured,modulus_common_predicted,modulus_differential,br_clipped
1,0.5,0.785600462590498,0.785600462590498,nan,False
2,0.5,1.3691618268039063,1.571200925180996,0.003439768414600586,False
3,0.5,2.479927444224721,2.356801387771494,0.003192896017243818,False
