case,rel_reg,abs_reg,divergence,rel_bias,w1_exact,scale,best_rel_reg
synthetic,0.005,0.005065837688729626,0.03680816211637395,0.8824334125408688,0.31308352918867627,1.0131675377459253,0.02
synthetic,0.01,0.010131675377459253,0.1600938145560799,0.4886546252658307,0.31308352918867627,1.0131675377459253,0.02
synthetic,0.02,0.020263350754918506,0.2941004505008575,0.06063263288558003,0.31308352918867627,1.0131675377459253,0.02
synthetic,0.05,0.05065837688729627,0.2685787688051956,0.14214979784727153,0.31308352918867627,1.0131675377459253,0.02
synthetic,0.1,0.10131675377459254,0.23063194696252806,0.26335330523395145,0.31308352918867627,1.0131675377459253,0.02
synthetic,0.2,0.20263350754918508,0.1749111438984785,0.44132754491511345,0.31308352918867627,1.0131675377459253,0.02
synthetic,0.5,0.5065837688729626,0.09563003864375974,0.6945542332055118,0.31308352918867627,1.0131675377459253,0.02
synthetic,1.0,1.0131675377459253,0.056341536907818734,0.8200431142007948,0.31308352918867627,1.0131675377459253,0.02
synthetic,2.0,2.0263350754918505,0.03860002995041745,0.876710122533608,0.31308352918867627,1.0131675377459253,0.02
config_crn,0.005,0.007770545492460058,2.2838697401329733,0.0021833999126546723,2.2888672526925804,1.5541090984920116,0.005
config_crn,0.01,0.015541090984920116,2.276909130856775,0.005224471546673599,2.2888672526925804,1.5541090984920116,0.005
config_crn,0.02,0.031082181969840233,2.2621751613917946,0.011661703521419027,2.2888672526925804,1.5541090984920116,0.005
config_crn,0.05,0.07770545492460058,2.217824206490531,0.031038517466871685,2.2888672526925804,1.5541090984920116,0.005
config_crn,0.1,0.15541090984920117,2.1499137092006038,0.060708432666208276,2.2888672526925804,1.5541090984920116,0.005
config_crn,0.2,0.31082181969840234,2.0400223675092635,0.10871966685292932,2.2888672526925804,1.5541090984920116,0.005
config_crn,0.5,0.7770545492460058,1.829237101336949,0.20081118763656175,2.2888672526925804,1.5541090984920116,0.005
config_crn,1.0,1.5541090984920116,1.637457053885897,0.28459937903361443,2.2888672526925804,1.5541090984920116,0.005
config_crn,2.0,3.1082181969840232,1.4838213220335317,0.35172242064803355,2.2888672526925804,1.5541090984920116,0.005
