date,regime,vix_close,h_decimal,A,k_decay,sigma_annual,informed_share,informed_imputed,gamma,epsilon_at_h,modulus_at_h,eps_star,fragility,stable_at_h,regime_order
1990-01-02,normal,17.24,0.013239796739907281,1.658313679245283,16.6662,0.0578830488620253,0.7154442150091062,True,61.20004397725275,32.93769306857572,0.5381972124206026,61.20004397725275,0.9834509752061978,True,1
1990-01-03,normal,18.19,0.01394034295505992,1.5808332747839526,16.6662,0.0578830488620253,0.7154442150091062,True,58.67708730614012,29.71439390781599,0.506405400676843,58.67708730614012,1.0257367176061798,True,1
1990-01-04,normal,19.22,0.01469988253569909,1.5046141500601846,16.6662,0.0578830488620253,0.7154442150091062,True,56.20673118719553,26.640586568489848,0.4739750205320399,56.20673118719553,1.0708191289694264,True,1
1990-01-05,elevated,20.11,0.015949515624862385,1.4444373114206843,14.4996,0.0578830488620253,0.7154442150091062,True,51.15604484699094,23.179446674414468,0.45311256458048693,51.15604484699094,1.1765421488723966,True,2
1990-01-08,elevated,20.26,0.016064402030886302,1.4347659737278406,14.4996,0.0578830488620253,0.7154442150091062,True,50.883171359316705,22.816995178731446,0.4484192822339415,50.883171359316705,1.1828516447426802,True,2
1990-01-09,elevated,22.2,0.01755026621546222,1.3204225352112675,14.4996,0.0578830488620253,0.7154442150091062,True,47.67117692088161,18.68105129465875,0.39187308770796914,47.67117692088161,1.2625499687574808,True,2
1990-01-10,elevated,22.44,0.017734084465100473,1.307531380753138,14.4996,0.0578830488620253,0.7154442150091062,True,47.310845086857455,18.232966378061136,0.38538661367361826,47.310845086857455,1.2721658812391603,True,2
1990-01-11,elevated,20.05,0.015903561062452824,1.448342452526553,14.4996,0.0578830488620253,0.7154442150091062,True,51.266275845303745,23.32633028055759,0.4550034090821208,51.266275845303745,1.1740123880600715,True,2
1990-01-12,elevated,24.64,0.019419085086784506,1.2001280136547898,14.4996,0.0578830488620253,0.7154442150091062,True,44.325239404453896,14.656727521619446,0.3306632455581663,44.325239404453896,1.3578548867587992,True,2
1990-01-15,elevated,26.34,0.020721131021722156,1.1284983448690942,14.4996,0.0578830488620253,0.7154442150091062,True,42.35288937061331,12.439546428113424,0.2937118721525678,42.35288937061331,1.4210894186088876,True,2
