n_bonds,rho_M,stable,m_scalar_max,market_alignment,seconds
8,0.49901300291788375,True,0.5016662204687056,0.21328018325634382,0.0020020008087158203
16,0.5013897703181363,True,0.5016662204687056,9.02333763264096e-14,0.0019989013671875
32,0.5013897703181363,True,0.5016662204687056,1.1421419365831298e-13,0.00099945068359375
64,0.5013897703181367,True,0.5016662204687056,1.4768741785076145e-13,0.005000591278076172
128,0.501389770318137,True,0.5016662204687056,2.1901924718292776e-13,0.11852765083312988
