K,mu_median,mu_pred_fit,gamma_eff_over_gamma_meas,m_anchor,c_fit,h_ref,lr
1,0.7778083086013794,0.8814255863882197,0.041905188705921734,0.03259420394897461,0.8851684300005623,1.0,0.08
3,0.702194094657898,0.6835614608536226,0.046417656025509846,0.03259420394897461,0.8851684300005623,1.0,0.08
8,0.37413573265075684,0.3565736975111183,0.0871186607011424,0.03259420394897461,0.8851684300005623,1.0,0.08
