date,regime,vix_close,h_decimal,A,k_decay,sigma_annual,informed_share,informed_imputed,gamma,epsilon_at_h,modulus_at_h,eps_star,fragility,stable_at_h,regime_order
1990-01-02,normal,17.24,0.0047492522049885355,11.055424528301888,25.0117,0.0321572493677918,0.7154442150091062,True,737.8120627868751,612.3428046652425,0.8299441491269359,737.8120627868751,0.9859733015369172,True,1
1990-01-03,normal,18.19,0.005000545387381707,10.538888498559684,25.0117,0.0321572493677918,0.7154442150091062,True,712.0090199686547,552.6716860164323,0.7762144446439218,712.0090199686547,1.0217047467906575,True,1
1990-01-04,normal,19.22,0.005273000100923776,10.030761000401233,25.0117,0.0321572493677918,0.7154442150091062,True,686.6642995828579,495.74662973729266,0.7219636000276323,686.6642995828579,1.0594157813383709,True,1
1990-01-05,elevated,20.11,0.0057876523067585854,9.629582076137895,24.3486,0.0321572493677918,0.7154442150091062,True,654.4882365924824,425.4999831240668,0.6501262503041818,654.4882365924824,1.111498961764677,True,2
1990-01-08,elevated,20.26,0.005829341508391959,9.565106491518938,24.3486,0.0321572493677918,0.7154442150091062,True,651.3666448179858,418.83441247843245,0.643008689208317,651.3666448179858,1.1168256791273317,True,2
1990-01-09,elevated,22.2,0.006368521849516893,8.802816901408452,24.3486,0.0321572493677918,0.7154442150091062,True,614.5265941279688,342.78559930365753,0.5578043368327783,614.5265941279688,1.1837778908364898,True,2
1990-01-10,elevated,22.44,0.006435224572130286,8.716875871687586,24.3486,0.0321572493677918,0.7154442150091062,True,610.3816352285734,334.5480208666222,0.5480964720397297,610.3816352285734,1.191816649574198,True,2
1990-01-11,elevated,20.05,0.0057709766261052385,9.65561635017702,24.3486,0.0321572493677918,0.7154442150091062,True,655.7489158212237,428.20125287479374,0.652995746609109,655.7489158212237,1.1093621017256339,True,2
1990-01-12,elevated,24.64,0.007046666196086397,8.000853424365266,24.3486,0.0321572493677918,0.7154442150091062,True,575.9259238561219,268.8151235492518,0.46675294931923794,575.9259238561219,1.2631190320258507,True,2
1990-01-15,elevated,26.34,0.007519143814597936,7.523322299127295,24.3486,0.0321572493677918,0.7154442150091062,True,553.0364592658229,228.075534124468,0.41240596402495233,553.0364592658229,1.3153978969586806,True,2
1990-01-16,elevated,24.18,0.006918819311077392,8.140670791273202,24.3486,0.0321572493677918,0.7154442150091062,True,582.6422707181657,281.22821805066104,0.48267733424836945,582.6422707181657,1.2485585616077368,True,2
1990-01-17,elevated,24.16,0.006913260750859608,8.1468607429937,24.3486,0.0321572493677918,0.7154442150091062,True,582.9397557619185,281.78266380060563,0.4833821351441503,582.9397557619185,1.2479213988569438,True,2
1990-01-18,elevated,24.34,0.006963287792819653,8.091487754881864,24.3486,0.0321572493677918,0.7154442150091062,True,580.2789865075899,276.8374793705974,0.4770765197560302,580.2789865075899,1.253643527293614,True,2
1990-01-19,elevated,22.5,0.006451900252783634,8.695652173913043,24.3486,0.0321572493677918,0.7154442150091062,True,609.3582974825136,332.52472182381706,0.5456965519261832,609.3582974825136,1.1938181501181808,True,2
1990-01-22,elevated,26.7,0.007619197898518028,7.429420505200594,24.3486,0.0321572493677918,0.7154442150091062,True,548.5452718082447,220.37840138358115,0.40175061696752523,548.5452718082447,1.3261676526017678,True,2
1990-01-23,elevated,24.72,0.007068900436957528,7.977026164645821,24.3486,0.0321572493677918,0.7154442150091062,True,574.7819642397965,266.7210560051364,0.4640386661364718,574.7819642397965,1.2656329542661924,True,2
