regime,h_decimal,A,gamma,epsilon_at_h,modulus_at_h,eps_star,fragility
calm,0.010337269857051943,2.142449057322415,93.53997936695674,55.55736469496732,0.5921260378389127,93.53997936695674,0.6434387022470599
normal,0.013202925886478192,1.6626025271558411,61.34001530906248,34.46091417511744,0.5634103455093028,61.34001530906248,0.9812068456265814
elevated,0.01847701655738843,1.2578967965561578,45.92727330519118,16.627055510321515,0.36655717350068234,45.92727330519118,1.3104902294578071
stress,0.02752806314456544,0.8963966429864474,35.638595261816064,5.726635463687494,0.16294231971765932,35.638595261816064,1.6888221016925469
crisis,0.034279827949293976,0.5113171529860921,21.76042043130934,1.971862649208738,0.09061693708691317,21.76042043130934,2.765904414488829
