run_id,universe_size,bond_id,rating_bucket,epsilon,n_dealers,br_slope,sinkhorn_wasserstein_tau_shift,dlambda_informed_ddelta,h_tail_mean,h_tail_std,tau_tail_mean,q_tail_mean,hit_cap,stability_label,adversarial_regime,br_slope_z,sinkhorn_wasserstein_tau_shift_z,dlambda_informed_ddelta_z,h_tail_mean_z,h_tail_std_z,tau_tail_mean_z,q_tail_mean_z,stability_code,data_is_synthetic,primary_source,split,episode_id
232,5,2,IG,0.95,5,-0.0853140935091978,0.0595092378811418,-0.4248282504995941,4.723260668310377,0.1285908697238169,0.8283025678025677,0.0178147174108577,False,stable,crisis,-0.61423,1.26101,-1.20491,1.04847,-0.84126,1.02298,0.75114,0,True,simulator_v1,held_out,2_e0.95_n5_u5
233,5,3,HY,0.95,5,0.0306104581057414,0.041799802049802,-0.2111477049337143,4.525945808364588,0.3762734923543533,0.7876954064454065,-0.0271551912627628,False,stable,crisis,0.25773,0.5159,0.07647,0.94475,0.72849,0.88456,-1.04996,0,True,simulator_v1,held_out,3_e0.95_n5_u5
234,5,4,IG,0.95,5,-0.0115493485142604,0.0512902837902837,-0.2497061284995231,4.658453938592889,0.2093032401560845,0.8248608706108707,0.002662242000176,False,stable,crisis,-0.05939,0.91521,-0.15475,1.01441,-0.32972,1.01125,0.14427,0,True,simulator_v1,held_out,4_e0.95_n5_u5
235,5,0,HY,0.95,10,-0.0250356995135796,0.0684708994708994,-0.1069181938759161,3.853691523605992,0.339406939372036,0.7021058201058201,0.0302397071310378,False,stable,crisis,-0.16083,1.63807,0.70151,0.59136,0.49484,0.59281,1.24878,0,True,simulator_v1,held_out,0_e0.95_n10_u5
236,5,1,HY,0.95,10,0.0538419777258272,0.028276540453011,-0.1930872376361471,3.6395521162342575,0.3060265320246393,0.6799300699300699,-0.0412793181840539,False,stable,crisis,0.43248,-0.05308,0.18478,0.47879,0.28329,0.51722,-1.61565,0,True,simulator_v1,held_out,1_e0.95_n10_u5
237,5,2,IG,0.95,10,0.0743323784148362,0.0141940209903764,-0.3457841224846124,3.745265051608528,0.2275531072218943,0.6901465928877761,0.0147359667424607,False,stable,crisis,0.5866,-0.64558,-0.7309,0.53437,-0.21406,0.55204,0.62784,0,True,simulator_v1,held_out,2_e0.95_n10_u5
238,5,3,HY,0.95,10,0.009234871448652,0.0231964886964886,-0.1678577388192435,3.850789299343104,0.2778405191462249,0.6902834295334296,0.0147683130970501,False,stable,crisis,0.09695,-0.26681,0.33607,0.58984,0.10465,0.55251,0.62913,0,True,simulator_v1,held_out,3_e0.95_n10_u5
239,5,4,IG,0.95,10,0.0695290629313689,0.0171584249084249,-0.2033969949323653,3.431085926108834,0.3443189894149668,0.6471156528656529,0.0004189389186477,False,stable,crisis,0.55047,-0.52086,0.12295,0.36921,0.52597,0.40536,0.05442,0,True,simulator_v1,held_out,4_e0.95_n10_u5
960,20,0,HY,0.95,1,0.0318506345304665,0.0504444444444444,-0.2086284059483177,3.944695818270135,0.5493152483327123,0.7186666666666667,0.0017990666157678,False,stable,crisis,0.26706,0.87962,0.09158,0.6392,1.82519,0.64926,0.1097,0,True,simulator_v1,held_out,0_e0.95_n1_u20
961,20,1,IG,0.95,1,-0.105714859966285,0.0174182293741117,-0.7244914480415425,5.753571499267762,0.0902574852721215,0.9787260702260704,0.0045984483777805,True,collapsed_saturated,crisis,-0.76768,-0.50993,-3.00191,1.59008,-1.0842,1.53574,0.22182,2,True,simulator_v1,held_out,1_e0.95_n1_u20
