k,residual_variance,m_error_bound,rho_error_measured
1,28.458259580839048,1.8199100516758984,0.00016771883948207833
2,0.3000000119209531,0.01918504663459587,3.5527138056989926e-06
4,0.30000001192094516,0.019185046634595363,6.235646696661767e-06
8,0.3000000119209387,0.01918504663459495,1.545422372073446e-05
